,Stock,Industry,Ticker,Beta (^FTSE),Alpha (^FTSE),Covariance (^FTSE),Beta (^FTLC),Alpha (^FTLC),Covariance (^FTLC),Beta (IUKP.L),Alpha (IUKP.L),Covariance (IUKP.L)
0,SEGRO,Industrial,SGRO.L,1.3095637888293217,0.24476448260377914,0.022151938631642866,1.3335746803233772,0.23348808601155213,0.023919380029993335,0.9792581790482834,0.2293487479862168,0.035833392169359185
1,Land Securities Properties Limited ,Diversified,LAND.L,1.5077415984167999,-0.04238200321751289,0.02550421724043035,1.4696191453052894,-0.054353212301086966,0.026359512785131125,1.120277348741723,-0.05995003454591966,0.04099361990004151
2,British Land,Diversified,BLND.L,1.548542561843421,0.007599092585640446,0.026194386322416326,1.5259802150878432,-0.004951290961275036,0.02737042118562578,1.075949551976145,-0.008565180552329184,0.039371560100604004
3,Unite Group Plc,Student,UTG.L,1.838726820407276,0.18227574090440593,0.03110300088736372,1.8271870878150445,0.1671389256938569,0.032772954514063535,1.3590233488262409,0.16103190558579708,0.049729905419973394
4,Derwent London Plc,Office,DLN.L,1.7049418694347807,0.08514008460201619,0.02883996028631796,1.6675323736315664,0.07151547363703577,0.029909341520745036,1.2350234595926841,0.06607429038635752,0.0451924537499945
5,Tritax Big Box REIT Plc,Industrial,BBOX.L,0.5366681746771493,0.12562257016870584,0.009078015574660508,0.5453319791753561,0.12101951604403649,0.009781231636192081,0.3572868781659452,0.12041330362018171,0.013073978952852955
6,LondonMetric Property Plc,Industrial,LMP.L,1.0813047686342971,0.13478534514956572,0.018290821020870165,1.1006920098725193,0.12548118758138915,0.019742329296274393,0.818353287017707,0.1218103501238138,0.029945498433609486
7,Assura plc,Heathcare,AGR.L,1.3181987994515627,0.11420997093456246,0.02229800423533405,1.3668328326890355,0.1024828907308406,0.024515907841496702,1.0593318025711356,0.09683927689548114,0.03876347701879552
8,Big Yellow Group Plc,Self Storage,BYG.L,1.3353459002374852,0.16964899129327152,0.02258805618053933,1.314500810450166,0.15884785712834293,0.02357726559960437,0.9422635810657709,0.15534646176180267,0.03447967160207884
9,Primary Health Properties,Heathcare,PHP.L,1.0651575224180858,0.12243957542423627,0.018017682125077008,1.0904153178882945,0.1131796008866629,0.019558003585349634,0.8891256901865596,0.10756897430447493,0.032535229448143556
10,Grainger Plc,Residential,GRI.L,1.69606419636276,0.1000390962000861,0.028689789923666907,1.7229776197809452,0.08549898019879397,0.03090382344445847,1.2730153553799985,0.07995422857949952,0.046582667822372595
