,AGR.L,BBOX.L,BCPT.L,BLND.L,BOXE.L,BYG.L,CAPC.L,CLI.L,DIGS.L,DLN.L,ESP.L,GPOR.L,GRI.L,HLCL.L,HMSO.L,IUKP.L,LAND.L,LMP.L,LXI.L,PCTN.L,PHP.L,SAFE.L,SGRO.L,SHB.L,SRE.L,STP.L,SUPR.L,THRL.L,UKCM.L,UTG.L,WKP.L,^FTLC,^FTSE
AGR.L,0.0646888695646247,0.014997779655728582,0.0034031908461158436,0.045097315040824724,-0.0005201239660490523,0.04083621107263571,0.03916424976597861,0.06634464301591599,0.03613485050404326,0.0514354339360575,0.0091012554615106,0.04642761344552028,0.0684557808816858,0.05805470571233081,0.025048718286989596,0.03876347701879552,0.0458163409663037,0.04550454087092728,0.008374602034231954,0.016313934297284366,0.05246464954245155,0.06181312711409502,0.05377069227042,0.03817474768409271,0.05616081107070021,0.032171552385595055,0.02490253865384462,0.012017733283015836,0.013890418124691866,0.06597867139654001,0.07696235632026378,0.024515907841496702,0.02229800423533405
BBOX.L,0.014997779655728582,0.015538774505368131,0.003167297338633682,0.012547206561629769,0.0029711617782861633,0.00702354450803052,0.016214720151838363,0.011317129985896481,0.00439497212770869,0.010499406696180262,0.0005680927290794948,0.013968355713482847,0.016516042594029366,0.01220675122425845,0.03201104265750538,0.013073978952852955,0.01110578618836348,0.007984524774372267,-0.003522104324864593,0.002537118425793982,0.008520325784569491,0.01226472773055106,0.011482289847867182,0.009033879866600501,0.013555885978669401,4.224090512740239e-05,0.008988940407801538,0.0021047160109963995,0.0055294460376566264,0.007032097630305205,0.016432415089198082,0.009781231636192081,0.009078015574660508
BCPT.L,0.0034031908461158436,0.003167297338633682,0.028229307542011237,0.02053796503774444,0.022104816894148248,0.01819947064129967,0.04192151267839566,0.03305136781761817,0.027618675718561,0.02491301576147312,0.020784963348467266,0.02198930976064316,0.011923402804962232,0.02701065640145224,0.09007097526879321,0.021020364621176783,0.022629175678709142,0.007356388607019613,0.029217275438097618,0.025944611607900694,0.005468895123428588,0.022050707517404056,0.008734295568339078,0.03226013761030898,0.005857308915915184,0.014457263840886421,0.009482006414880851,-0.0006826800508423002,0.0248913350487115,0.021647043850553462,0.03418865681014748,0.015940545094276334,0.016547904573461454
BLND.L,0.045097315040824724,0.012547206561629769,0.02053796503774444,0.04464829972962901,0.013004241326589342,0.04005164586643296,0.05395136028805539,0.07298669494436223,0.037850268425091246,0.049253253847867745,0.01628073617765366,0.04386664887036359,0.054463846193223975,0.05466632469452246,0.07329357009200685,0.039371560100604004,0.04224430749904923,0.03614245216894919,0.022125411325898122,0.027305590921011286,0.03640918341672837,0.057291774532576355,0.04299582671547535,0.04827002834392616,0.042636153237113124,0.028729965976291915,0.022137889583038434,0.007310173197086213,0.02517411569753892,0.05868074574011774,0.07452429934771501,0.02737042118562578,0.026194386322416326
BOXE.L,-0.0005201239660490523,0.0029711617782861633,0.022104816894148248,0.013004241326589342,0.009164017929095034,0.010962959316261026,0.031045922644607624,0.016428722305346696,0.022041710000336556,0.017368650054526695,0.01782071595610531,0.016094472290364613,0.005034272548317918,0.01893997727851504,0.07355171598761572,0.014961458064512812,0.017427206091114353,0.0022750574816658865,0.017441605677989417,0.0194298265048852,0.0025722924398094496,0.01237909288701191,0.002811015378772517,0.02175041491075811,0.000722395185173608,0.005036396569676469,0.00522108817452991,-0.0010557693658353462,0.01909922997806418,0.01181947710224867,0.02164878832341477,0.011180666652686017,0.011806863173318572
BYG.L,0.04083621107263571,0.00702354450803052,0.01819947064129967,0.04005164586643296,0.010962959316261026,0.037497368592232114,0.04696247746933595,0.0685001386579797,0.03593723312179468,0.04543838187321176,0.0154665351262813,0.03881382681610373,0.049297862865643846,0.05028744586615003,0.058188694552595344,0.03447967160207884,0.03825888888300672,0.033816506693900156,0.02238362311119081,0.025584743551285156,0.034238296505542644,0.05306369289670638,0.039487138876981784,0.04426682525484103,0.03855096772352418,0.028830488351996492,0.01897913864089885,0.006834319314154287,0.02234873398337014,0.05651422833894107,0.06858112695077924,0.02357726559960437,0.02258805618053933
CAPC.L,0.03916424976597861,0.016214720151838363,0.04192151267839566,0.05395136028805539,0.031045922644607624,0.04696247746933595,0.08185141536739357,0.08376345078531412,0.05474856188171188,0.06126375951266777,0.03191004026503251,0.05580372209676669,0.05388081521803292,0.06760905381326612,0.14603439993156325,0.05119840221096274,0.05481113965856652,0.03428075577369397,0.042540683617388116,0.044385594793884174,0.033577947955057585,0.06399858325685365,0.04129132596357866,0.06635875931381074,0.038956867015146474,0.034196874912460706,0.027194349638135055,0.005138568344140852,0.042747650599836796,0.06330594206094006,0.08888345220954981,0.03687224019735205,0.03643862798064333
CLI.L,0.06634464301591599,0.011317129985896481,0.03305136781761817,0.07298669494436223,0.016428722305346696,0.0685001386579797,0.08376345078531412,0.1467689615842991,0.04694199216549016,0.07335897535098436,0.01550324118787771,0.06051272715937826,0.0865440704911096,0.08011097457507038,0.09488662651101995,0.05805546200135358,0.05377553091200163,0.061033297527255476,0.032271897267407416,0.04416523076411366,0.049126296534365954,0.09744758793359705,0.07195499947013537,0.08446051662962792,0.06934747528838711,0.042424238597880616,0.02923745391806391,0.010199272690127924,0.03862845798728459,0.09987338328918074,0.12144054340013208,0.042665984615021836,0.04080856379410932
DIGS.L,0.03613485050404326,0.00439497212770869,0.027618675718561,0.037850268425091246,0.022041710000336556,0.03593723312179468,0.05474856188171188,0.04694199216549016,0.05665909446245195,0.052985598433390166,0.03340080532458357,0.04626709276981686,0.042362630649420335,0.05915121397231669,0.09222841027641117,0.03792367903884614,0.051910898319700666,0.028006911513889437,0.0403462985480958,0.03427514352884807,0.038350245323535176,0.04792955360628346,0.03163691368608461,0.04461087821611788,0.029725202410365484,0.03819204516106859,0.021743835242391558,0.006299785864750596,0.030214350325028724,0.05503729867964554,0.06867048424386829,0.023921938396745352,0.023704561313173583
DLN.L,0.0514354339360575,0.010499406696180262,0.02491301576147312,0.049253253847867745,0.017368650054526695,0.04543838187321176,0.06126375951266777,0.07335897535098436,0.052985598433390166,0.05988916301960516,0.026018602800083838,0.052680296541940536,0.06024229266887638,0.06672717760571951,0.08644491403611784,0.0451924537499945,0.05438184589604964,0.04015519610335081,0.03280726034720191,0.03386472123718682,0.04596083329830284,0.06376582831018719,0.046815101533873575,0.05369210747202722,0.045939457206108376,0.03897690535127411,0.025937013528008753,0.00878485001472734,0.030198046589966828,0.06878342986572666,0.08526143481490411,0.029909341520745036,0.02883996028631796
ESP.L,0.0091012554615106,0.0005680927290794948,0.020784963348467266,0.01628073617765366,0.01782071595610531,0.0154665351262813,0.03191004026503251,0.01550324118787771,0.03340080532458357,0.026018602800083838,0.023487171440857525,0.022911741658192267,0.01275107526737993,0.02893365629435652,0.06805958612263363,0.018641105345457168,0.02731808821274645,0.007915325544952853,0.028460305232280308,0.02172198925737003,0.014163175800961906,0.01857592475099648,0.00846280353517475,0.023230200838050406,0.006490660345200388,0.01949231198861128,0.010089300177039068,0.0013054084869724223,0.019735568684521775,0.02218441900242879,0.030423148345546762,0.011848243043032298,0.012317169887682769
GPOR.L,0.04642761344552028,0.013968355713482847,0.02198930976064316,0.04386664887036359,0.016094472290364613,0.03881382681610373,0.05580372209676669,0.06051272715937826,0.04626709276981686,0.052680296541940536,0.022911741658192267,0.04821111842138947,0.05374874221332915,0.0589441425132085,0.0844414066849257,0.041422491485395764,0.04918066341781559,0.034561920029627935,0.02675015903982368,0.028886053592809664,0.040545287635838985,0.05508307136010768,0.040992000077686885,0.04628184389343537,0.04098839519511696,0.03223685693548072,0.024444383698467815,0.007799121604057215,0.02698521547057932,0.05755306089091511,0.07438995093690642,0.02760603294094353,0.026561613481333127
