,AGR.L,BBOX.L,BCPT.L,BLND.L,BOXE.L,BYG.L,CAPC.L,CLI.L,DIGS.L,DLN.L,ESP.L,GPOR.L,GRI.L,HLCL.L,HMSO.L,IUKP.L,LAND.L,LMP.L,LXI.L,PCTN.L,PHP.L,SAFE.L,SGRO.L,SHB.L,SRE.L,STP.L,SUPR.L,THRL.L,UKCM.L,UTG.L,WKP.L,^FTLC,^FTSE
AGR.L,0.00019706127486215856,8.05376546753588e-05,7.133720411600035e-05,0.00010270367526547018,3.006128498544551e-05,9.41849908784295e-05,0.00010148710524193606,7.360871678309011e-05,6.270662542445432e-05,0.00011313804560292014,7.232348753810263e-05,0.00010989056088576895,9.922309040543101e-05,0.00010522735593470948,9.553431652053085e-05,9.56372732131116e-05,0.00010070642604874645,0.00010476153122840485,5.677788452651523e-05,5.8483696663060996e-05,7.927874955807892e-05,0.00010171531911521433,9.355301807351953e-05,8.072090290556539e-05,6.207405354274228e-05,4.2941988901102235e-05,9.253238458602307e-06,4.361931429409782e-05,7.254494301258717e-05,9.489401130465477e-05,0.00011236936736532332,5.293551996178729e-05,5.23770305743259e-05
BBOX.L,8.05376546753588e-05,0.0002025885790680695,0.00011264026409144222,0.00014895064376636255,9.74308678637307e-05,0.00013213584748140235,0.00013413263171391403,0.00010926627515197727,0.00011273108723573937,0.00014722634185659832,0.00014268189888363145,0.00014078674619325026,0.00013242126302549532,0.00013136252664848683,0.00024260161581009013,0.00013043004384570193,0.00014232809604250614,0.00014651978898400238,8.326069209337125e-05,0.0001425417167955758,8.82341824727112e-05,0.00012074767480488691,0.00011529408403156123,0.00010722153679742976,8.063601770189411e-05,5.790399689232587e-05,2.28214816316708e-05,9.581057471651032e-05,0.00011914197277250478,0.00016393122957935694,0.00018200872059050095,7.669266598756763e-05,7.259673425512973e-05
BCPT.L,7.133720411600035e-05,0.00011264026409144222,0.00046341462109306824,0.00018415182365145958,0.0001033644199842156,0.00012832000130040506,0.00020359746131210114,0.0001465712226469751,0.00015449995335555227,0.00014762927400324344,0.00014961745939409771,0.00015420844603483577,0.00013636430553415357,0.00016494535999748134,0.00024654686673355157,0.00014367881894698144,0.00017540442314512649,0.00013753563004947932,8.861509338517587e-05,0.00023025208999361853,7.054884388485618e-05,0.00012079294213527585,8.889468625530992e-05,0.0001470825133576575,0.00012712683573917294,4.6850662090299924e-05,3.303183552694045e-05,9.586226503130712e-05,0.00022661609646338626,0.00016579358068290727,0.00021986946868599722,8.883853978755795e-05,8.368496996330291e-05
BLND.L,0.00010270367526547018,0.00014895064376636255,0.00018415182365145958,0.00039481204741853874,6.272251175957843e-05,0.00015290468178682587,0.0003084187539525371,0.00015007473549178503,0.0001514759884090647,0.0002652704932435505,0.0001697522896316472,0.0002537695037515882,0.00018818877091607893,0.0001976907959623125,0.0005209005346526062,0.0002133594760108556,0.0003353845395551737,0.00017786925274913194,8.543278390299116e-05,0.0001556449397898995,8.428080389577568e-05,0.00016275375729778388,0.000138538341040385,0.0002376141485476676,0.0001247948373635355,5.710130949387935e-05,1.5673665400015703e-05,6.644415023503978e-05,0.00015189319251313787,0.00022072758670360247,0.0002915034516038172,0.0001162112951185442,0.00011214515312122316
BOXE.L,3.006128498544551e-05,9.74308678637307e-05,0.0001033644199842156,6.272251175957843e-05,0.00022841934666220385,0.00010694810902983175,7.120806120673423e-05,8.37500012504885e-05,0.00012293655990547908,6.146390384457602e-05,9.78281180213871e-05,6.550043869341686e-05,7.929900519510518e-05,9.671879646175289e-05,0.0001657511720531249,7.499186482596413e-05,4.971052743295251e-05,5.895370445620277e-05,6.643798184332343e-05,0.00012091394342173449,5.5516774989031054e-05,6.155188876032284e-05,4.4088060928657216e-05,6.18036641941768e-05,5.925268307673924e-05,3.3337123535049475e-05,1.9397535766184236e-05,0.00010848104983540103,0.00010788028931499441,0.00011937949222648403,0.00012905610255869155,5.718462357628798e-05,5.370135419804513e-05
BYG.L,9.41849908784295e-05,0.00013213584748140235,0.00012832000130040506,0.00015290468178682587,0.00010694810902983175,0.00027084206091605755,0.00015580438067464404,0.0001232165607980558,0.00012587451617739731,0.00016095826663997206,0.0001309489337779509,0.00015661008947295566,0.00014318021991450872,0.00015112485727067712,0.00022080744182625245,0.000139984524960296,0.00014869083776401776,0.00014294212513836518,8.54830474506802e-05,0.0001394502740562486,8.812927451664159e-05,0.00015585755279262165,0.00011111114097708454,0.0001153538930602688,6.69612269833049e-05,5.10098334681468e-05,2.198747902147416e-05,9.837821068122663e-05,0.00013126420608422818,0.0001790180623210901,0.00021086638444454083,7.286710536605566e-05,6.869172177395012e-05
CAPC.L,0.00010148710524193606,0.00013413263171391403,0.00020359746131210114,0.0003084187539525371,7.120806120673423e-05,0.00015580438067464404,0.0004964910160662905,0.0001712320419274973,0.0001616213767725416,0.0002514000699419891,0.000163450543161682,0.0002445237026570506,0.00017707838187646142,0.00021391641849909584,0.0004623027907893516,0.0002024184467387604,0.00028526662355500944,0.0001618062445982851,8.452179176798318e-05,0.00016758045720716912,8.987806793572737e-05,0.00016732194915880887,0.00012142460311082157,0.00028374438990309023,0.0001283481262045124,5.831089017354162e-05,1.696034434536038e-05,6.679155724435258e-05,0.00016472333327164444,0.00022292188895267666,0.00030955356194204163,0.00011638345839086064,0.00011051688822897625
CLI.L,7.360871678309011e-05,0.00010926627515197727,0.0001465712226469751,0.00015007473549178503,8.37500012504885e-05,0.0001232165607980558,0.0001712320419274973,0.0005273796170238142,0.00012142070430400399,0.00014334780838944414,0.00012072893869097942,0.00014137674014518952,0.00013363562216807466,0.00015594776422476694,0.00024384594490918304,0.00012310143082246467,0.0001428617717382722,0.00012072256433097675,7.460785020626902e-05,0.000119087956476822,7.945287771489713e-05,0.00013049423030258846,8.356650686032673e-05,0.00013366819501842253,6.18210532678252e-05,6.23551027002441e-05,1.9316528763530464e-05,6.623046654928065e-05,0.00012889304450345082,0.000161721123268576,0.00019169916734966782,6.994500333890204e-05,6.508662542509754e-05
DIGS.L,6.270662542445432e-05,0.00011273108723573937,0.00015449995335555227,0.0001514759884090647,0.00012293655990547908,0.00012587451617739731,0.0001616213767725416,0.00012142070430400399,0.0002809260956383009,0.00012216837029958437,0.0001730099089503937,0.0001288009845560615,0.00011480897898075654,0.00014617038091406488,0.0002688348183254167,0.0001172063080266422,0.00014519894527312556,0.00011471066513146831,0.00012800317227816015,0.00016636577989401712,7.959579461586357e-05,9.063340054688758e-05,6.702869500445333e-05,0.0001482460825814657,0.00011634297513886171,6.551611555561927e-05,2.5193233505181388e-05,0.00011720461110736927,0.00014392643447174136,0.00018720328833736458,0.00018770244210041288,7.746403397183004e-05,7.320384820022158e-05
DLN.L,0.00011313804560292014,0.00014722634185659832,0.00014762927400324344,0.0002652704932435505,6.146390384457602e-05,0.00016095826663997206,0.0002514000699419891,0.00014334780838944414,0.00012216837029958437,0.0003316063236559788,0.00014973460284252742,0.00026615364052372145,0.0001746996534446746,0.00018689652427408097,0.0003521022909470946,0.00019197053915054647,0.00025669612694514114,0.00017513220322313913,8.613002565749699e-05,0.00013722758093933897,8.780775111877698e-05,0.0001739172173006697,0.0001466980954377129,0.0002001187169181049,8.503584127633884e-05,5.2776794284973945e-05,1.5611416267634772e-05,6.775817952681389e-05,0.00013720872921797912,0.00020577093507113608,0.0002619833905918045,8.553095402091464e-05,7.928543128317844e-05
ESP.L,7.232348753810263e-05,0.00014268189888363145,0.00014961745939409771,0.0001697522896316472,9.78281180213871e-05,0.0001309489337779509,0.000163450543161682,0.00012072893869097942,0.0001730099089503937,0.00014973460284252742,0.0003388572872886956,0.00014405965672308115,0.00012845495070533703,0.00016172972699112132,0.0002835530440039024,0.0001303139649959366,0.00016607812724532133,0.0001454798267997018,0.00010893228984020278,0.00016451497013169735,8.22614771913516e-05,8.813807908954599e-05,9.544021778590333e-05,0.00013135081169583313,9.902205533167697e-05,6.098359604640166e-05,2.585824185298069e-05,0.00011246718631792756,0.00013899515130099118,0.0001890571637660061,0.0002000410192394857,7.749318222818104e-05,7.134806430401233e-05
GPOR.L,0.00010989056088576895,0.00014078674619325026,0.00015420844603483577,0.0002537695037515882,6.550043869341686e-05,0.00015661008947295566,0.0002445237026570506,0.00014137674014518952,0.0001288009845560615,0.00026615364052372145,0.00014405965672308115,0.0003112307588420201,0.00017821727463074373,0.00019279608758632956,0.0003523282348692526,0.00018427012230079096,0.00024238296952674857,0.0001638921966583557,8.506388823531657e-05,0.0001515923979566903,9.200887370414865e-05,0.00016614527333961226,0.00013775779186120697,0.000187547903825085,9.810032779654976e-05,4.823271161961842e-05,1.79214153951773e-05,6.783635839886644e-05,0.00013965619838279564,0.0002022036388687795,0.0002602008119816254,8.821725733828287e-05,8.231913867485606e-05
GRI.L,9.922309040543101e-05,0.00013242126302549532,0.00013636430553415357,0.00018818877091607893,7.929900519510518e-05,0.00014318021991450872,0.00017707838187646142,0.00013363562216807466,0.00011480897898075654,0.0001746996534446746,0.00012845495070533703,0.00017821727463074373,0.00024748781168817345,0.00016290346917122698,0.0002734424735917396,0.0001505390065022686,0.00017314132422224966,0.00014689050941187298,8.263957381444627e-05,0.00014351881246807554,8.724861526306148e-05,0.0001510249904933278,0.00012118397334837435,0.00012921791286088906,9.705842257548191e-05,4.408291994321661e-05,1.8890848847614093e-05,8.329956789615732e-05,0.0001356961971979363,0.00017320276595694827,0.0002053383125407091,8.8353018213612e-05,8.42993306233358e-05
HLCL.L,0.00010522735593470948,0.00013136252664848683,0.00016494535999748134,0.0001976907959623125,9.671879646175289e-05,0.00015112485727067712,0.00021391641849909584,0.00015594776422476694,0.00014617038091406488,0.00018689652427408097,0.00016172972699112132,0.00019279608758632956,0.00016290346917122698,0.0005903982571884679,0.0003270703278568917,0.0001582187530384155,0.000183013609560912,0.00015139886914700997,0.00010139910853839207,0.0001884252187774699,9.749305449975754e-05,0.00015576917308995927,0.00010540302639360852,0.00013995455620156118,0.000115669968872621,8.629356520554126e-05,3.434722379456173e-05,0.00010996609599959724,0.00014992229854619867,0.00018680093644433255,0.0002589091999949105,9.259436019652312e-05,8.646016228598303e-05
HMSO.L,9.553431652053085e-05,0.00024260161581009013,0.00024654686673355157,0.0005209005346526062,0.0001657511720531249,0.00022080744182625245,0.0004623027907893516,0.00024384594490918304,0.0002688348183254167,0.0003521022909470946,0.0002835530440039024,0.0003523282348692526,0.0002734424735917396,0.0003270703278568917,0.001671770634111407,0.000305919986349499,0.00048323012307546173,0.0002504330399109031,0.00015783307752384768,0.0003001350218013588,0.00013886149774592181,0.00021087075606551422,0.0001414043524060609,0.00035905749770368385,0.00023490799106025312,0.00012843113463203277,3.5871284130253806e-05,0.00016678178558574044,0.0002916758363796205,0.0003573356410048921,0.00046705122174913046,0.0001864939575516991,0.00017884018832863355
IUKP.L,9.56372732131116e-05,0.00013043004384570193,0.00014367881894698144,0.0002133594760108556,7.499186482596413e-05,0.000139984524960296,0.0002024184467387604,0.00012310143082246467,0.0001172063080266422,0.00019197053915054647,0.0001303139649959366,0.00018427012230079096,0.0001505390065022686,0.0001582187530384155,0.000305919986349499,0.00016420285684294638,0.00020303333824185944,0.00014897415306818087,7.706595812539481e-05,0.00013659531916699428,8.549310707260025e-05,0.00014419814581363689,0.0001291311843525548,0.0001532982630112298,9.493277346697919e-05,5.074799885332235e-05,1.786131645683483e-05,7.118279542470982e-05,0.0001293123186655328,0.00017720422067022843,0.00021696500838348673,8.647202470990157e-05,8.290209547437587e-05
LAND.L,0.00010070642604874645,0.00014232809604250614,0.00017540442314512649,0.0003353845395551737,4.971052743295251e-05,0.00014869083776401776,0.00028526662355500944,0.0001428617717382722,0.00014519894527312556,0.00025669612694514114,0.00016607812724532133,0.00024238296952674857,0.00017314132422224966,0.000183013609560912,0.00048323012307546173,0.00020303333824185944,0.0003582891971104128,0.00017467534802197536,8.1881503182391e-05,0.00013938056198912216,8.486537535529076e-05,0.0001588437472219064,0.000139262746496795,0.00022382379866310603,0.00010897735563768931,5.9371161097058556e-05,1.4865795331977857e-05,6.312546509595219e-05,0.00014494977357279353,0.00021816746693428067,0.00027426483076417363,0.00010778617195596104,0.00010324900321455196
LMP.L,0.00010476153122840485,0.00014651978898400238,0.00013753563004947932,0.00017786925274913194,5.895370445620277e-05,0.00014294212513836518,0.0001618062445982851,0.00012072256433097675,0.00011471066513146831,0.00017513220322313913,0.0001454798267997018,0.0001638921966583557,0.00014689050941187298,0.00015139886914700997,0.0002504330399109031,0.00014897415306818087,0.00017467534802197536,0.0002213159974999511,9.229878733511676e-05,0.00014390865226821656,9.3625942013285e-05,0.0001473371758700579,0.0001406617599313879,0.00013394836335558564,0.0001026812956295535,6.513649895357904e-05,2.6871323529770642e-05,7.989796986809988e-05,0.00011945054211085793,0.0001682650911642216,0.00018830826461702823,8.347318722109355e-05,8.086359849561848e-05
LXI.L,5.677788452651523e-05,8.326069209337125e-05,8.861509338517587e-05,8.543278390299116e-05,6.643798184332343e-05,8.54830474506802e-05,8.452179176798318e-05,7.460785020626902e-05,0.00012800317227816015,8.613002565749699e-05,0.00010893228984020278,8.506388823531657e-05,8.263957381444627e-05,0.00010139910853839207,0.00015783307752384768,7.706595812539481e-05,8.1881503182391e-05,9.229878733511676e-05,0.0002020703566388882,0.00010511019866990349,6.353948915110527e-05,5.984593334721781e-05,6.364437124697606e-05,8.060825659630583e-05,8.107974043265189e-05,4.2954306302789504e-05,1.4023430437683199e-05,8.321222317327542e-05,9.525667903490206e-05,0.00011818128715420368,0.00010241904923972205,5.662203336275649e-05,5.383609277598554e-05
PCTN.L,5.8483696663060996e-05,0.0001425417167955758,0.00023025208999361853,0.0001556449397898995,0.00012091394342173449,0.0001394502740562486,0.00016758045720716912,0.000119087956476822,0.00016636577989401712,0.00013722758093933897,0.00016451497013169735,0.0001515923979566903,0.00014351881246807554,0.0001884252187774699,0.0003001350218013588,0.00013659531916699428,0.00013938056198912216,0.00014390865226821656,0.00010511019866990349,0.0004414060194820367,9.351450218578582e-05,0.00012971826626967728,9.181689152738924e-05,0.00011782009908307483,0.00017414781768992885,6.644568197649671e-05,4.514868441971709e-05,0.00014946694238971006,0.00022787012309787754,0.00017081890587144376,0.00022334032602280883,9.638965386427569e-05,9.102273934367512e-05
PHP.L,7.927874955807892e-05,8.82341824727112e-05,7.054884388485618e-05,8.428080389577568e-05,5.5516774989031054e-05,8.812927451664159e-05,8.987806793572737e-05,7.945287771489713e-05,7.959579461586357e-05,8.780775111877698e-05,8.22614771913516e-05,9.200887370414865e-05,8.724861526306148e-05,9.749305449975754e-05,0.00013886149774592181,8.549310707260025e-05,8.486537535529076e-05,9.3625942013285e-05,6.353948915110527e-05,9.351450218578582e-05,0.00013497720836028662,8.237159488987685e-05,7.51008199116107e-05,7.272384792324663e-05,5.9102294404332385e-05,3.7038015198007e-05,1.573308928686304e-05,6.746495618615307e-05,8.327117844920489e-05,9.823872735968972e-05,0.00011404717130426877,5.375111112795702e-05,5.272741275027033e-05
SAFE.L,0.00010171531911521433,0.00012074767480488691,0.00012079294213527585,0.00016275375729778388,6.155188876032284e-05,0.00015585755279262165,0.00016732194915880887,0.00013049423030258846,9.063340054688758e-05,0.0001739172173006697,8.813807908954599e-05,0.00016614527333961226,0.0001510249904933278,0.00015576917308995927,0.00021087075606551422,0.00014419814581363689,0.0001588437472219064,0.0001473371758700579,5.984593334721781e-05,0.00012971826626967728,8.237159488987685e-05,0.00032199655621278255,0.0001295834824094951,0.00012476883457721485,9.564694314204925e-05,5.817836063264332e-05,1.9741092057446287e-05,6.863279761936453e-05,0.00011108349305689264,0.0001664267356011318,0.0002082016286464163,8.083925537715335e-05,7.563322036139578e-05
SGRO.L,9.355301807351953e-05,0.00011529408403156123,8.889468625530992e-05,0.000138538341040385,4.4088060928657216e-05,0.00011111114097708454,0.00012142460311082157,8.356650686032673e-05,6.702869500445333e-05,0.0001466980954377129,9.544021778590333e-05,0.00013775779186120697,0.00012118397334837435,0.00010540302639360852,0.0001414043524060609,0.0001291311843525548,0.000139262746496795,0.0001406617599313879,6.364437124697606e-05,9.181689152738924e-05,7.51008199116107e-05,0.0001295834824094951,0.00018906539442049787,9.066812431739872e-05,8.234058539798128e-05,4.658231074086525e-05,1.4296447947365392e-05,4.9047387678569206e-05,8.18473610005349e-05,0.00013067459097013885,0.00013890821825964078,7.344431725008034e-05,7.320830690767714e-05
SHB.L,8.072090290556539e-05,0.00010722153679742976,0.0001470825133576575,0.0002376141485476676,6.18036641941768e-05,0.0001153538930602688,0.00028374438990309023,0.00013366819501842253,0.0001482460825814657,0.0002001187169181049,0.00013135081169583313,0.000187547903825085,0.00012921791286088906,0.00013995455620156118,0.00035905749770368385,0.0001532982630112298,0.00022382379866310603,0.00013394836335558564,8.060825659630583e-05,0.00011782009908307483,7.272384792324663e-05,0.00012476883457721485,9.066812431739872e-05,0.00034515153626648334,9.261437230564393e-05,4.48290741862592e-05,1.0236827851069319e-05,5.349075940508168e-05,0.00012912196779573494,0.0001855373476169075,0.0002308846431833767,7.791693234594595e-05,7.253339807954615e-05
SRE.L,6.207405354274228e-05,8.063601770189411e-05,0.00012712683573917294,0.0001247948373635355,5.925268307673924e-05,6.69612269833049e-05,0.0001283481262045124,6.18210532678252e-05,0.00011634297513886171,8.503584127633884e-05,9.902205533167697e-05,9.810032779654976e-05,9.705842257548191e-05,0.000115669968872621,0.00023490799106025312,9.493277346697919e-05,0.00010897735563768931,0.0001026812956295535,8.107974043265189e-05,0.00017414781768992885,5.9102294404332385e-05,9.564694314204925e-05,8.234058539798128e-05,9.261437230564393e-05,0.0004039100551914637,8.997751764547253e-05,3.3564866630767995e-05,7.78775240022971e-05,9.98866440551375e-05,0.00010774022035050174,0.000139261651159494,7.971399084080864e-05,8.06888776311573e-05
