,AGR.L,BBOX.L,BCPT.L,BLND.L,BOXE.L,BYG.L,CAPC.L,CLI.L,DIGS.L,DLN.L,ESP.L,GPOR.L,GRI.L,HLCL.L,HMSO.L,IUKP.L,LAND.L,LMP.L,LXI.L,PCTN.L,PHP.L,SAFE.L,SGRO.L,SHB.L,SRE.L,STP.L,SUPR.L,THRL.L,UKCM.L,UTG.L,WKP.L,^FTLC,^FTSE
AGR.L,0.0022636252438852293,-1.1096693491575438e-05,2.341288891997747e-05,-5.0282338646594556e-05,0.0004641403170424547,0.00046945586960522157,0.0011296437854599972,0.0003494593630334823,-0.00034025211705137546,0.0011298318388488378,4.3596568874646324e-05,0.0005006600827381149,0.0005754261259849842,-0.00019579439650065265,0.00046532687365690074,0.0004524650131193291,3.1793757886388886e-05,0.0003611818531524276,-1.774210080204239e-05,0.00030360756289466876,0.0010499892296591737,-0.00012082357915319652,0.0006800763737068937,0.0005324044276200366,0.00018396626119732614,-0.0005765077840006764,0.0003827741014170876,7.697254125632322e-05,0.0005092835117770301,0.00017644973354992105,9.193970589668707e-05,-5.66404967542348e-06,-2.3777994957131127e-06
BBOX.L,-1.1096693491575438e-05,0.0022923046636908534,0.0014405944280523858,0.0020802244423628346,0.0011266454350766075,0.0005841190634999086,0.001363558658154306,0.0010597036122900103,0.001345105634534264,0.0008975241316931514,0.0011656830436448222,0.0007855118611136552,0.0011904586632570352,0.0008835394812797238,0.002600919236725815,0.0013580749949288777,0.001864501552909655,0.0015062368039417298,0.0009439816839892359,0.0005505857100849945,-0.000279467482319665,0.0008868706870424653,0.001050936233254173,0.000983257852855448,0.0013019808987093514,0.0021606139495892623,0.00024624923590609493,0.0003332399278784052,0.0001741167637036044,0.0015322443488755694,0.0013743993926639676,0.001245186058849652,0.0012079525351207051
BCPT.L,2.341288891997747e-05,0.0014405944280523858,0.005379792054921991,0.0034644258930579355,0.0011281904528053588,0.0006275800642941365,0.0024234550133819693,0.002137477216161092,0.0035546958583707006,0.0017385196504952206,0.003261731289793107,0.002275214414917923,0.0014151058065088845,0.0017572593962558631,0.0036848795010975943,0.00182797021283846,0.003310183323418982,0.0013870227711427704,0.0018436181226204145,0.0016842239121255963,-6.206815927100257e-05,0.0007105189444257544,0.0006923321819051518,0.0026302523876833004,0.0021810800467240727,0.0020128570956345973,9.604641295341019e-05,0.0005879516070563826,0.0009348735518728773,0.0024633968968569286,0.002980414316608626,0.0016353657917761698,0.0014990806225040401
BLND.L,-5.0282338646594556e-05,0.0020802244423628346,0.0034644258930579355,0.007663546523956124,0.001741431281009891,0.0018469458481230599,0.005978787924504623,0.0028908357146604727,0.004095119155374773,0.0035608924172848885,0.004042685819424521,0.0034067184575313565,0.002087555245174994,0.003038660876774011,0.008478843869810723,0.0034921039526939262,0.006693961926161551,0.002549006102800989,0.001559805310014285,0.0014141766079686325,-9.874645321663915e-05,0.0017051935341895537,0.0013317822345527447,0.0037725307613685304,0.0031898911856890156,0.004233638560901168,0.00011770839975873174,0.0010255092229521066,0.000915521698982416,0.004561610160145468,0.0050945293032492196,0.002682161458037687,0.002467847257192451
BOXE.L,0.0004641403170424547,0.0011266454350766075,0.0011281904528053588,0.001741431281009891,0.0023243030230062117,0.0006036274180933662,0.0020537075650713405,0.00017188309579722934,0.0012547241592860449,0.0009618686321066245,0.0011930718791647625,0.0007295600767582973,0.0007740459308115781,0.00020996542510080685,0.0037128434272843845,0.0009738151431670279,0.00107236340343787,0.00043635657279166696,0.0011021061492043095,0.0019058512270983246,0.0004354606544774591,5.3238018689017125e-05,0.0004046857258383303,0.0008104447491453097,0.0016241051990736222,0.0011980031149323503,0.0006161234826475602,0.0006435940963813347,0.00020056886398339582,0.0012994133822612098,0.0006144772399410568,0.001002601458938724,0.000991504917261127
BYG.L,0.00046945586960522157,0.0005841190634999086,0.0006275800642941365,0.0018469458481230599,0.0006036274180933662,0.002548606710224215,0.0017658222291294233,0.001585212987242074,0.0007279887185324156,0.0013645925550661389,0.000978192709150776,0.001048663682104734,0.001126544486685555,0.0009650991021999441,0.0017093392424475736,0.0012672839045419688,0.001896300700949855,0.0010657116741448005,0.00046223437452520486,0.00030266737510504436,0.0003697412073379947,0.0015852830495387633,0.0009206398581689804,0.0009887749418029184,0.001184595647845046,0.0015139824368644978,0.00015719969498366576,0.0004189380046517104,0.00042072311785275177,0.001657075454769353,0.0018653601087623034,0.0006890485068184306,0.0005857887418043346
CAPC.L,0.0011296437854599972,0.001363558658154306,0.0024234550133819693,0.005978787924504623,0.0020537075650713405,0.0017658222291294233,0.007526138187491126,0.00266784213836791,0.0033973153001878548,0.0034709482979296876,0.0037641318776813148,0.0031785222769241733,0.001944445721691508,0.00271144315751341,0.008156935189251122,0.003085650736138932,0.0054323476718683514,0.0018803607073822224,0.0014044506898079406,0.0019884581295412226,0.0006077726646761132,0.0011249819224030397,0.001205496475263743,0.0036499723550198105,0.0031950982734966944,0.0027688543934797937,0.0006652373997757869,0.0008482050634057742,0.0010574252077087676,0.0036493328479631675,0.004199899985053836,0.0023625057545418374,0.0022145605192605057
CLI.L,0.0003494593630334823,0.0010597036122900103,0.002137477216161092,0.0028908357146604727,0.00017188309579722934,0.001585212987242074,0.00266784213836791,0.00468151059995833,0.002036399245625236,0.0015832950839630756,0.0024911308954553247,0.0017076704774452386,0.001697447616574796,0.0020153514394220316,0.0041622831238234586,0.002030688045841865,0.003313252044171962,0.00146408025182214,0.0007946912014853602,0.0003617338272610628,3.29338067652946e-05,0.0017055188740505661,0.0014017299560333872,0.0022944377526928177,0.002099098852788095,0.0023083974979681995,5.7035621536296184e-05,0.0006511650453223152,0.0011498956991363937,0.0027845923902542796,0.002920562002272064,0.001346059579403255,0.0012697053302275442
DIGS.L,-0.00034025211705137546,0.001345105634534264,0.0035546958583707006,0.004095119155374773,0.0012547241592860449,0.0007279887185324156,0.0033973153001878548,0.002036399245625236,0.004768906892695309,0.0022269568294211142,0.0044752993546691615,0.0024881443905389665,0.0014675755678213575,0.001703065206572044,0.004606028751187077,0.002048934676380206,0.004159041621893198,0.0014744795856350696,0.001809275918510755,0.0021749022667647885,-0.00024865227014326353,0.0008252630218399912,0.0005365234711417769,0.002835781207064395,0.002453832575683719,0.002968926318500304,3.664109885180448e-05,0.0008952249903451754,0.0008838028476813475,0.0030470904500800038,0.002494478845802257,0.0018702411316164772,0.001766980377128679
DLN.L,0.0011298318388488378,0.0008975241316931514,0.0017385196504952206,0.0035608924172848885,0.0009618686321066245,0.0013645925550661389,0.0034709482979296876,0.0015832950839630756,0.0022269568294211142,0.004051563469200061,0.0023648712681291527,0.002817488053767488,0.0015470706636024254,0.002306082175593921,0.004800172808626475,0.002351285162337738,0.0035604861687700325,0.0017465343756810855,0.0007262524216434052,0.0013923388430405728,0.00039712820695855116,0.001375825680195664,0.001314123036483509,0.0023540387393868427,0.001651818677805673,0.0022320845419789713,0.00023971386664904836,0.0007791757515652124,0.0012133018979241501,0.0026754605394772825,0.0036690199920222035,0.0010637179839111204,0.000962384904502041
