,Stock,Industry,Ticker,Beta (^FTSE),Alpha (^FTSE),Covariance (^FTSE),Beta (^FTLC),Alpha (^FTLC),Covariance (^FTLC),Beta (IUKP.L),Alpha (IUKP.L),Covariance (IUKP.L)
0,SEGRO,Industrial,SGRO.L,0.6453135167259851,0.0008769619278235763,7.320830690767714e-05,0.6760120166451588,0.0008599667029390991,7.344431725008034e-05,0.7864125316410516,0.0009244636691799785,0.0001291311843525548
1,Land Securities Properties Limited ,Diversified,LAND.L,0.9101149880007373,-0.0002246738761654444,0.00010324900321455196,0.9921087185316741,-0.0002558865101074809,0.00010778617195596104,1.2364787199534122,-0.00016772756797443225,0.00020303333824185944
2,British Land,Diversified,BLND.L,0.9885323975009365,-6.752012489935787e-05,0.00011214515312122316,1.069657053282045,-9.993705947633128e-05,0.0001162112951185442,1.29936518835921,-2.2236687171285435e-06,0.0002133594760108556
3,Unite Group Plc,Student,UTG.L,0.8662651428885307,0.0005666975076021733,9.827440895048708e-05,0.9521780884588874,0.0005355156701103276,0.00010344796820979767,1.0791786700746464,0.0006286094726192037,0.00017720422067022843
4,Derwent London Plc,Office,DLN.L,0.6988818980748586,0.0002149143195580779,7.928543128317844e-05,0.7872624442321916,0.00018618842572617092,8.553095402091464e-05,1.1691059634495806,0.000241319338464887,0.00019197053915054647
5,Tritax Big Box REIT Plc,Industrial,BBOX.L,0.6399226517296586,0.00048315275926526485,7.259673425512973e-05,0.7059111683156452,0.000459645960039128,7.669266598756763e-05,0.7943226223551825,0.0005291154092593105,0.00013043004384570193
6,LondonMetric Property Plc,Industrial,LMP.L,0.7127930603030148,0.0004792826958815916,8.086359849561848e-05,0.7683219034767265,0.0004564634495044963,8.347318722109355e-05,0.9072567672234175,0.0005287057632149295,0.00014897415306818087
7,Assura plc,Heathcare,AGR.L,0.4616908548125182,0.00044211868595654403,5.23770305743259e-05,0.48724052372464133,0.000429288126027982,5.293551996178729e-05,0.5824336741265408,0.0004745424595937989,9.56372732131116e-05
8,Big Yellow Group Plc,Self Storage,BYG.L,0.6055009113079496,0.0005108657814260033,6.869172177395012e-05,0.6706991185972064,0.00048810695160689125,7.286710536605566e-05,0.8525096801098025,0.0005463952055944385,0.000139984524960296
9,Primary Health Properties,Heathcare,PHP.L,0.4647793889380502,0.000463785530053155,5.272741275027033e-05,0.4947475637468532,0.0004500740795085836,5.375111112795702e-05,0.5206554180380129,0.0005016071151697993,8.549310707260025e-05
10,Grainger Plc,Residential,GRI.L,0.7430782079251519,0.000325536315133764,8.42993306233358e-05,0.8132378958047273,0.00029945055171488633,8.8353018213612e-05,0.9167867684924218,0.000379348393781518,0.0001505390065022686
11,Shaftesbury Plc,Retail,SHB.L,0.6393643586625429,-0.0001694721250570703,7.253339807954615e-05,0.7171798246368708,-0.00019518294797782093,7.791693234594595e-05,0.9335907179608566,-0.00013459077829100762,0.0001532982630112298
12,Safestore Ltd.,Self Storage,SAFE.L,0.6666885422480028,0.0009370518551503282,7.563322036139578e-05,0.7440781002228267,0.0009109444377756271,8.083925537715335e-05,0.8781707491944383,0.0009809433500691219,0.00014419814581363689
13,Great Portland Estates Plc,Office,GPOR.L,0.7256232948962601,-1.8936391909914983e-06,8.231913867485606e-05,0.8119882962911223,-3.070842180535321e-05,8.821725733828287e-05,1.122210209028448,3.2750146249415745e-05,0.00018427012230079096
14,Workspace Group Plc,Office,WKP.L,0.9200832773575415,0.00023367381740933515,0.00010437986684542668,1.0326309851650395,0.00019656835502066607,0.00011218865317379926,1.32132298155449,0.00028561904654337644,0.00021696500838348673
15,Capital & Counties Properties PLC,Retail,CAPC.L,0.9741796363436211,-0.00041942604896153343,0.00011051688822897625,1.0712417155849796,-0.0004545759361019215,0.00011638345839086064,1.232734013467048,-0.00035130955221216164,0.0002024184467387604
16,Sirius Real Estate Limited,Diversified,SRE.L,0.7112529381467537,0.000813492316001778,8.06888776311573e-05,0.733720697813005,0.0007968882556599867,7.971399084080864e-05,0.5781432509288115,0.0008886169487266135,9.493277346697919e-05
17,CLS Holdings Plc,Office,CLI.L,0.5737228590447305,0.0006257502774581633,6.508662542509754e-05,0.6438028772244001,0.000602631630794061,6.994500333890204e-05,0.7496911636574397,0.0006639965873467853,0.00012310143082246467
18,UK Commercial Property REIT,Industrial,UKCM.L,0.709350578204994,0.00017137919497362724,8.047306229976341e-05,0.7780791315993906,0.00014614925019688853,8.453324671719359e-05,0.7875156446834243,0.00022966400894615035,0.0001293123186655328
19,Hammerson Plc,Retail,HMSO.L,1.576432999711751,-0.00039492695058930414,0.00017884018832863355,1.7165678851282762,-0.0004486376471016908,0.0001864939575516991,1.863061290353185,-0.0002743048402553626,0.000305919986349499
20,GCP Student Living plc ,Student,DIGS.L,0.6452742142982992,0.00035856002285341914,7.320384820022158e-05,0.7130111597941025,0.0003346326660586933,7.746403397183004e-05,0.7137897006185798,0.0004117841382156801,0.0001172063080266422
21,LXI REIT PLC,Diversified,LXI.L,0.4463945868227237,0.0005904781603099703,5.383609277598554e-05,0.4941737947952562,0.000572904254776631,5.662203336275649e-05,0.5438735055094915,0.0005519119217400719,7.706595812539481e-05
22,BMO Commercial Property Trust Limited,Diversified,BCPT.L,0.7376627673172451,2.714588558480545e-05,8.368496996330291e-05,0.8177068381356963,-6.956241490463014e-07,8.883853978755795e-05,0.8750080340222373,8.333453656750623e-05,0.00014367881894698144
23,Target Healthcare REIT Limited,Heathcare,THRL.L,0.4472336445887635,0.0003043853685859292,5.0736916342008e-05,0.4887878630579705,0.00028881111225946494,5.310362833573985e-05,0.4335052190522687,0.0003461036930462333,7.118279542470982e-05
24,Helical plc.,Office,HLCL.L,0.7621254163387308,0.00039084658363426936,8.646016228598303e-05,0.8522769699564628,0.0003606867328097291,9.259436019652312e-05,0.9635566401243896,0.0004442023015399062,0.0001582187530384155
25,Tritax Eurobox PLC,Industrial,BOXE.L,0.34281234108583125,0.0004012342681353477,5.370135419804513e-05,,,5.718462357628798e-05,0.4090674712989203,0.00037119324290293173,7.499186482596413e-05
26,Picton Property Income Limited,Diversified,PCTN.L,0.8023434294413349,0.00039742789034113085,9.102273934367512e-05,0.8872104300547011,0.00036755611571588734,9.638965386427569e-05,0.8318693218452518,0.00046799899740435156,0.00013659531916699428
27,ESP Empiric Student Property,Student,ESP.L,0.6289159281565827,1.4120899095557764e-05,7.134806430401233e-05,0.7132794524584685,-1.2633445297493262e-05,7.749318222818104e-05,0.7936156989069745,5.827095908703234e-05,0.0001303139649959366
28,Supermarket Income REIT,Retail,SUPR.L,0.09856252044771495,0.0004018282981347532,1.2527596906708894e-05,0.11029144631380262,0.00039840399690791746,1.3340176915851258e-05,0.12055060379632936,0.0003937622793517885,1.786131645683483e-05
29,Stenprop,Industrial,STP.L,0.3155569629732813,0.0007089973644766646,4.921649489631367e-05,0.32544006994524627,0.0006990477693835553,4.8325254028037174e-05,0.2800456757538421,0.0006914227170107933,5.074799885332235e-05
