,Stock,Industry,Ticker,Beta (^FTSE),Alpha (^FTSE),Covariance (^FTSE),Beta (^FTLC),Alpha (^FTLC),Covariance (^FTLC),Beta (IUKP.L),Alpha (IUKP.L),Covariance (IUKP.L)
0,SEGRO,Industrial,SGRO.L,0.5360498164268249,0.01949953725442719,0.0008374043523742363,0.5203501016740607,0.01915339795156648,0.0008522920963425079,0.6082266335164068,0.019187297558188727,0.0013285936111871515
1,Land Securities Properties Limited ,Diversified,LAND.L,1.5126109761619555,-0.003809168239713139,0.0023629651127023065,1.5210540016678047,-0.004948751135297597,0.002491365524021068,1.575532964123755,-0.004326296250757873,0.003441551084745638
2,British Land,Diversified,BLND.L,1.5797494548920827,0.0008932412270875278,0.002467847257192451,1.6375406898473546,-0.0004481369233566328,0.002682161458037687,1.5986759330706792,0.0004741467700758552,0.0034921039526939262
3,Unite Group Plc,Student,UTG.L,1.3053748135722436,0.01221318536882772,0.0020392256780379365,1.2973823196460927,0.011276907543124094,0.0021250090917854705,1.2714045305079393,0.011995162110838446,0.0027772212583020393
4,Derwent London Plc,Office,DLN.L,0.6160539408800648,0.007656249069543813,0.000962384904502041,0.6494320004326816,0.007099678438637288,0.0010637179839111204,1.076412114798516,0.006321492670891747,0.002351285162337738
5,Tritax Big Box REIT Plc,Industrial,BBOX.L,0.7732497841310402,0.010706220933286562,0.0012079525351207051,0.7602237485318151,0.01017721064206061,0.001245186058849652,0.6217231328474646,0.010916861529321678,0.0013580749949288777
6,LondonMetric Property Plc,Industrial,LMP.L,0.6821366852290003,0.010850424925050832,0.0010656178056967502,0.6915887310816191,0.010319082922711461,0.0011327673570622674,0.8055105787403919,0.010371568453528648,0.0017595352615042664
7,Assura plc,Heathcare,AGR.L,-0.0015221069481703032,0.010258136385881647,-2.3777994957131127e-06,-0.003458073631260314,0.010265234518356845,-5.66404967542348e-06,0.20713728366315343,0.009718935428596179,0.0004524650131193291
8,Big Yellow Group Plc,Self Storage,BYG.L,0.3749824641092652,0.011411525096336484,0.0005857887418043346,0.4206849531046717,0.01099436625165638,0.0006890485068184306,0.5801592123270497,0.010793110224874619,0.0012672839045419688
9,Primary Health Properties,Heathcare,PHP.L,0.03456966868802913,0.010781433048607058,5.4003919285816454e-05,0.03892871389458361,0.010742525173925682,6.376213834952798e-05,0.07123240748697075,0.010678529379057593,0.00015559812129489124
