Date,Open,High,Low,Close,Adj Close,Volume
2013-03-07,102.5,105.0,100.0,102.5,63.437076568603516,175798
2013-03-08,104.0,103.94999694824219,104.0,102.5,63.437076568603516,15268
2013-03-11,104.0,103.94999694824219,100.05000305175781,102.5,63.437076568603516,63955
2013-03-12,103.5,103.93000030517578,103.5,102.5,63.437076568603516,17266
2013-03-13,103.5,103.44999694824219,103.5,102.5,63.437076568603516,22300
2013-03-14,103.5,103.76000213623047,103.30000305175781,103.0,63.74652099609375,41949
2013-03-15,103.80000305175781,104.5,101.4000015258789,103.0,63.74652099609375,40701
2013-03-18,103.0,103.0,103.0,103.0,63.74652099609375,0
2013-03-19,103.0,103.0,103.0,103.0,63.74652099609375,0
2013-03-20,103.80000305175781,103.75,101.4000015258789,103.0,63.74652099609375,7974
2013-03-21,103.80000305175781,103.75,102.0,103.0,63.74652099609375,10300
2013-03-22,103.0,103.75,103.0,103.0,63.74652099609375,33400
2013-03-25,103.80000305175781,103.75,102.0,103.0,63.74652099609375,11250
2013-03-26,102.0,105.0,102.04000091552734,103.0,63.74652099609375,29125
2013-03-27,102.0999984741211,102.0999984741211,102.05000305175781,103.0,63.74652099609375,16000
2013-03-28,101.0,102.0,101.0,103.75,64.21070861816406,9000
2013-04-02,103.75,103.75,103.75,103.75,64.21070861816406,34000
2013-04-03,103.75,103.75,103.30000305175781,103.75,64.21070861816406,29298
2013-04-04,103.75,105.0,103.75,103.75,64.21070861816406,10477
2013-04-05,103.75,104.0,103.75,103.75,64.21070861816406,65000
2013-04-08,103.75,103.75,103.75,103.75,64.21070861816406,2500
2013-04-09,103.75,103.75,103.75,103.75,64.21070861816406,5658
2013-04-10,103.30000305175781,103.75,103.30000305175781,103.75,64.21070861816406,34458
2013-04-11,103.75,103.75,103.75,103.75,64.21070861816406,6000
2013-04-12,103.75,103.75,103.75,103.75,64.21070861816406,9800
2013-04-15,103.9000015258789,103.9000015258789,103.75,103.75,64.21070861816406,30400
2013-04-16,103.9000015258789,103.9000015258789,103.30000305175781,103.75,64.21070861816406,28986
2013-04-17,103.9000015258789,103.9000015258789,103.30000305175781,103.75,64.21070861816406,5500
2013-04-18,103.75,103.75,103.75,103.75,64.21070861816406,0
2013-04-19,102.5,104.19999694824219,102.5,103.75,64.21070861816406,22700
2013-04-22,104.19999694824219,104.19999694824219,104.19999694824219,103.75,64.21070861816406,18500
2013-04-23,103.30000305175781,104.0,103.30000305175781,103.75,64.21070861816406,17500
2013-04-24,104.19999694824219,104.19999694824219,104.19999694824219,103.75,64.21070861816406,4000
2013-04-25,104.19999694824219,104.19999694824219,104.19999694824219,103.75,64.21070861816406,30631
2013-04-26,104.19999694824219,104.4000015258789,104.19999694824219,103.75,64.21070861816406,21550
2013-04-29,104.0,104.0,104.0,104.25,64.52015686035156,16000
2013-04-30,104.25,104.25,104.25,104.25,64.52015686035156,0
2013-05-01,105.0999984741211,105.30000305175781,103.80000305175781,104.25,64.52015686035156,25724
2013-05-02,104.25,104.25,104.25,104.25,64.52015686035156,0
2013-05-03,104.19999694824219,105.30000305175781,104.19999694824219,104.5,64.67488098144531,28200
2013-05-07,105.30000305175781,105.30000305175781,105.30000305175781,104.75,64.8296127319336,13422
2013-05-08,105.30000305175781,105.9000015258789,104.69999694824219,105.0,64.98432159423828,33596
2013-05-09,105.9000015258789,105.9000015258789,105.9000015258789,105.0,64.98432159423828,3270
2013-05-10,104.0,105.75,104.0,105.75,65.44850158691406,25425
